Flag/Circled,Label,Dynamic Metadata,Name,Reel/Tape,Camera,Shoot Date,Shooting Day,Crew Unit,Episode,Scene,Take,Duration,Look Source Name,Look Name,CDL Nodes,SAT Nodes,Director,Cinematographer,EI/ISO (clip),WB (clip),Tint (clip),Frames,Shutter Angle,Sensor FPS,Lens Model,Focal Length,T-Stop,Focus Distance,Codec,File Type,Resolution,Project FPS,TC Start,TC End,File Size,Soundroll,In/Out Duration,Firmware Version,Lens Serial,Recorder Model,LUT Nodes,ShotID,Shothub Link
"","No Label","","A_0021C001_250529_104832_h1EI5","A_0021_1EI5","A_","20250529","SD008","ENT","302","227","01","181","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","4345","172.8° @ 24fps","24","COOKE S4 911","35.0 mm","2 1/10","5.96 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:48:54.10","10:51:55.11","45877498588","SR008","4345","4.00.00","911","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","FYK-H3N-4Q3","https://shotid.net/FYK-H3N-4Q3"
"","No Label","","A_0021C002_250529_105321_h1EI5","A_0021_1EI5","A_","20250529","SD008","ENT","302","227","02","171","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","4114","172.8° @ 24fps","24","COOKE S4 911","35.0 mm","2 1/10","5.42 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:53:43.16","10:56:35.02","43796304568","SR008","4114","4.00.00","911","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","REH-FTG-Y7D","https://shotid.net/REH-FTG-Y7D"
"","No Label","","A_0021C003_250529_105933_h1EI5","A_0021_1EI5","A_","20250529","SD008","ENT","302","227","03","195","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","4676","172.8° @ 24fps","24","COOKE S4 911","35.0 mm","2 1/10","6.19 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","10:59:55.20","11:03:10.16","49705132800","SR008","4676","4.00.00","911","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","9P4-VRK-9TW","https://shotid.net/9P4-VRK-9TW"
"","No Label","","A_0021C004_250529_110402_h1EI5","A_0021_1EI5","A_","20250529","SD008","ENT","302","","","16","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","377","172.8° @ 24fps","24","COOKE S4 911","35.0 mm","2 1/10","6.15 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:04:24.13","11:04:40.06","3959189624","","377","4.00.00","911","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","LFM-8XX-UTF","https://shotid.net/LFM-8XX-UTF"
"","No Label","","A_0021C005_250529_111228_h1EI5","A_0021_1EI5","A_","20250529","SD008","ENT","302","227","05","193","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","4642","172.8° @ 24fps","24","COOKE S4 911","35.0 mm","2 1/10","5.99 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:12:50.17","11:16:04.03","49271747328","SR008","4642","4.00.00","911","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","CB4-9H2-FZD","https://shotid.net/CB4-9H2-FZD"
"X","No Label","Extracted","A_0021C006_250529_111735_h1EI5","A_0021_1EI5","A_","20250529","SD008","ENT","302","227","06","192","LOG","107_F","(1.0000 1.0000 1.0000) (0.0000 0.0000 0.0000) (1.0000 1.0000 1.0000)","1","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","4615","172.8° @ 24fps","24","COOKE S4 911","35.0 mm","2 1/10","6.33 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:17:57.20","11:21:10.03","49009148672","SR008","4615","4.00.00","911","ARRI ALEXA 35","","9GE-JZF-M3H","https://shotid.net/9GE-JZF-M3H"
"","No Label","","A_0021C007_250529_114703_h1EI5","A_0021_1EI5","A_","20250529","SD008","ENT","302","227A","01","252","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","6057","172.8° @ 24fps","24","COOKE S4 911","35.0 mm","2 1/10","5.77 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:47:25.07","11:51:37.16","62281851864","SR008","6057","4.00.00","911","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","6DN-V92-GHW","https://shotid.net/6DN-V92-GHW"
"","No Label","","A_0021C008_250529_115504_h1EI5","A_0021_1EI5","A_","20250529","SD008","ENT","302","227A","02","205","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","4910","172.8° @ 24fps","24","COOKE S4 911","35.0 mm","2 1/10","5.57 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","11:55:26.08","11:58:50.22","50568495908","SR008","4910","4.00.00","911","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","SY3-CML-AGG","https://shotid.net/SY3-CML-AGG"
"","No Label","","A_0022C001_250529_115949_h1EI5","A_0022_1EI5","A_","20250529","SD008","ENT","302","","","26","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","620","172.8° @ 24fps","24","COOKE S4 911","35.0 mm","2 1/10","7.47 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","12:00:11.08","12:00:37.04","6576488604","","620","4.00.00","911","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","76G-HB8-74P","https://shotid.net/76G-HB8-74P"
"","No Label","","A_0022C002_250529_120609_h1EI5","A_0022_1EI5","A_","20250529","SD008","ENT","302","227A","04","206","107_F","107_F","(0.9659 0.9621 0.9638) (0.0005 0.0082 0.0026) (1.0381 1.0381 1.0381)","0.95","Charlotte Brandstorm","Alex Disenhof","800","3200 K","0","4936","172.8° @ 24fps","24","COOKE S4 911","35.0 mm","2 1/10","4.43 ft","ARRIRAW (13bit, HDE)","mxf","4608x3164","24","12:06:31.16","12:09:57.08","50980287268","SR008","4936","4.00.00","911","ARRI ALEXA 35","LogC4AWG4_mktG3_Rec709.cube","368-BNV-4YR","https://shotid.net/368-BNV-4YR"
