"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"11:58:12:15","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.843","-0.7","0.5","ARRI ALEXA 35"
"11:58:12:16","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.843","-0.9","0.3","ARRI ALEXA 35"
"11:58:12:17","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.843","-0.9","0.3","ARRI ALEXA 35"
"11:58:12:18","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.843","-0.9","0.3","ARRI ALEXA 35"
"11:58:12:19","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.846","-0.7","0.1","ARRI ALEXA 35"
"11:58:12:20","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.863","-0.7","0.1","ARRI ALEXA 35"
"11:58:12:21","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.863","-0.9","0.1","ARRI ALEXA 35"
"11:58:12:22","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.863","-1","0.1","ARRI ALEXA 35"
"11:58:12:23","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.863","-1","0.1","ARRI ALEXA 35"
"11:58:13:00","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.863","-1","0.3","ARRI ALEXA 35"
"11:58:13:01","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.863","-0.7","0.3","ARRI ALEXA 35"
"11:58:13:02","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.863","-1.1","0.3","ARRI ALEXA 35"
"11:58:13:03","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.827","-1.1","0.5","ARRI ALEXA 35"
"11:58:13:04","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.827","-1.1","0.5","ARRI ALEXA 35"
"11:58:13:05","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.535","-1.1","0.5","ARRI ALEXA 35"
"11:58:13:06","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.43","-1.1","0.5","ARRI ALEXA 35"
"11:58:13:07","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.197","-1.5","0.7","ARRI ALEXA 35"
"11:58:13:08","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","5.026","-1.5","0.5","ARRI ALEXA 35"
"11:58:13:09","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.865","-1.5","0.5","ARRI ALEXA 35"
"11:58:13:10","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.672","-1.5","0.5","ARRI ALEXA 35"
"11:58:13:11","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.626","-1.7","0.6","ARRI ALEXA 35"
"11:58:13:12","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.554","-1.7","0.6","ARRI ALEXA 35"
"11:58:13:13","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.518","-1.7","0.3","ARRI ALEXA 35"
"11:58:13:14","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.508","-1.7","0.5","ARRI ALEXA 35"
"11:58:13:15","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.501","-1.7","0.7","ARRI ALEXA 35"
"11:58:13:16","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.482","-1.7","0.9","ARRI ALEXA 35"
"11:58:13:17","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.482","-1.4","0.9","ARRI ALEXA 35"
"11:58:13:18","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.482","-1.4","0.6","ARRI ALEXA 35"
"11:58:13:19","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.482","-1.4","0.6","ARRI ALEXA 35"
"11:58:13:20","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.482","-1.4","0.6","ARRI ALEXA 35"
"11:58:13:21","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.482","-1.1","0.6","ARRI ALEXA 35"
"11:58:13:22","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.478","-1.1","0.6","ARRI ALEXA 35"
"11:58:13:23","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.472","-1.1","0.4","ARRI ALEXA 35"
"11:58:14:00","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.472","-1.1","0.4","ARRI ALEXA 35"
"11:58:14:01","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.1","0.4","ARRI ALEXA 35"
"11:58:14:02","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.9","0.4","ARRI ALEXA 35"
"11:58:14:03","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.9","0.4","ARRI ALEXA 35"
"11:58:14:04","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.9","0.4","ARRI ALEXA 35"
"11:58:14:05","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.1","0.2","ARRI ALEXA 35"
"11:58:14:06","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.1","0.2","ARRI ALEXA 35"
"11:58:14:07","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.1","0.2","ARRI ALEXA 35"
"11:58:14:08","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.1","0.2","ARRI ALEXA 35"
"11:58:14:09","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.3","0.2","ARRI ALEXA 35"
"11:58:14:10","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.3","0.2","ARRI ALEXA 35"
"11:58:14:11","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.4","0.4","ARRI ALEXA 35"
"11:58:14:12","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.4","0.8","ARRI ALEXA 35"
"11:58:14:13","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.4","0.9","ARRI ALEXA 35"
"11:58:14:14","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.4","0.9","ARRI ALEXA 35"
"11:58:14:15","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.6","0.9","ARRI ALEXA 35"
"11:58:14:16","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.6","0.9","ARRI ALEXA 35"
"11:58:14:17","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.6","0.9","ARRI ALEXA 35"
"11:58:14:18","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.4","0.6","ARRI ALEXA 35"
"11:58:14:19","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.4","0.3","ARRI ALEXA 35"
"11:58:14:20","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.1","0","ARRI ALEXA 35"
"11:58:14:21","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.8","0","ARRI ALEXA 35"
"11:58:14:22","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.8","0.2","ARRI ALEXA 35"
"11:58:14:23","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.5","0.2","ARRI ALEXA 35"
"11:58:15:00","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.3","0","ARRI ALEXA 35"
"11:58:15:01","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.5","0","ARRI ALEXA 35"
"11:58:15:02","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.7","0.2","ARRI ALEXA 35"
"11:58:15:03","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.7","0.3","ARRI ALEXA 35"
"11:58:15:04","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.4","0.1","ARRI ALEXA 35"
"11:58:15:05","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.7","0.1","ARRI ALEXA 35"
"11:58:15:06","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.8","0.1","ARRI ALEXA 35"
"11:58:15:07","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.8","0.1","ARRI ALEXA 35"
"11:58:15:08","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.5","0.1","ARRI ALEXA 35"
"11:58:15:09","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.5","0.1","ARRI ALEXA 35"
"11:58:15:10","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-0.9","0.1","ARRI ALEXA 35"
"11:58:15:11","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.1","0.1","ARRI ALEXA 35"
"11:58:15:12","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.1","0.1","ARRI ALEXA 35"
"11:58:15:13","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.5","0.5","ARRI ALEXA 35"
"11:58:15:14","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.6","0.5","ARRI ALEXA 35"
"11:58:15:15","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.8","0.6","ARRI ALEXA 35"
"11:58:15:16","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.8","0.6","ARRI ALEXA 35"
"11:58:15:17","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.6","0.6","ARRI ALEXA 35"
"11:58:15:18","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.8","0.6","ARRI ALEXA 35"
"11:58:15:19","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.8","0.6","ARRI ALEXA 35"
"11:58:15:20","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.465","-1.9","0.6","ARRI ALEXA 35"
"11:58:15:21","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.462","-1.9","0.6","ARRI ALEXA 35"
"11:58:15:22","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.442","-2.1","0.6","ARRI ALEXA 35"
"11:58:15:23","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.413","-2.4","0.6","ARRI ALEXA 35"
"11:58:16:00","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.383","-2.5","0.6","ARRI ALEXA 35"
"11:58:16:01","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.377","-2.5","0.6","ARRI ALEXA 35"
"11:58:16:02","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.36","-2.5","0.3","ARRI ALEXA 35"
"11:58:16:03","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.357","-2.5","0.3","ARRI ALEXA 35"
"11:58:16:04","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.35","-2.5","0.3","ARRI ALEXA 35"
"11:58:16:05","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.344","-2.5","0.3","ARRI ALEXA 35"
"11:58:16:06","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.331","-2.5","0.3","ARRI ALEXA 35"
"11:58:16:07","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.314","-2.5","0.3","ARRI ALEXA 35"
"11:58:16:08","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.308","-2.5","0.3","ARRI ALEXA 35"
"11:58:16:09","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.308","-2.5","0.3","ARRI ALEXA 35"
"11:58:16:10","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.308","-2.5","0.3","ARRI ALEXA 35"
"11:58:16:11","A_0011C002_250527_105732_h1CBB","COOKE S4 753","753","40","T 2.8","4.308","-2.5","0.3","ARRI ALEXA 35"
