"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"15:27:40:05","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:06","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:07","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:08","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:09","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:10","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:11","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:12","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:13","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:14","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:15","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:16","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:17","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:18","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:19","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:20","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:21","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:22","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:40:23","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:00","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:01","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:02","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:03","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:04","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:05","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:06","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:07","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:08","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:09","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:10","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:11","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:12","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:13","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:14","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:15","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:16","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:17","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:18","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:19","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:20","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:21","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:22","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:41:23","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:42:00","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:42:01","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:42:02","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:42:03","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:42:04","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:42:05","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
"15:27:42:06","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.8","ARRI ALEXA 35"
"15:27:42:07","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.6","ARRI ALEXA 35"
"15:27:42:08","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.6","ARRI ALEXA 35"
"15:27:42:09","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.6","ARRI ALEXA 35"
"15:27:42:10","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.6","ARRI ALEXA 35"
"15:27:42:11","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.6","ARRI ALEXA 35"
"15:27:42:12","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.6","ARRI ALEXA 35"
"15:27:42:13","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.6","ARRI ALEXA 35"
"15:27:42:14","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.8","ARRI ALEXA 35"
"15:27:42:15","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.8","ARRI ALEXA 35"
"15:27:42:16","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.8","ARRI ALEXA 35"
"15:27:42:17","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.9","-0.8","ARRI ALEXA 35"
"15:27:42:18","A_0019C004_250528_152715_h1EI5","COOKE S4 753","753","40","T 2 3/10","5.135","1.7","-0.8","ARRI ALEXA 35"
