"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"12:36:16:00","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:01","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:02","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:03","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:04","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:05","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:06","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:07","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31.2","1.9","ARRI ALEXA 35"
"12:36:16:08","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31.2","1.9","ARRI ALEXA 35"
"12:36:16:09","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.9","ARRI ALEXA 35"
"12:36:16:10","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.9","ARRI ALEXA 35"
"12:36:16:11","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.9","ARRI ALEXA 35"
"12:36:16:12","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.7","ARRI ALEXA 35"
"12:36:16:13","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.7","ARRI ALEXA 35"
"12:36:16:14","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.7","ARRI ALEXA 35"
"12:36:16:15","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:16","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:17","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:18","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:19","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:20","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:21","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:22","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:16:23","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:17:00","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:17:01","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:17:02","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.2","1.8","ARRI ALEXA 35"
"12:36:17:03","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31","1.8","ARRI ALEXA 35"
"12:36:17:04","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31","1.8","ARRI ALEXA 35"
"12:36:17:05","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31","1.8","ARRI ALEXA 35"
"12:36:17:06","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31","1.8","ARRI ALEXA 35"
"12:36:17:07","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.1","1.8","ARRI ALEXA 35"
"12:36:17:08","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.3","1.8","ARRI ALEXA 35"
"12:36:17:09","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.3","1.8","ARRI ALEXA 35"
"12:36:17:10","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.3","1.8","ARRI ALEXA 35"
"12:36:17:11","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.342","-31.3","1.8","ARRI ALEXA 35"
"12:36:17:12","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31.3","1.8","ARRI ALEXA 35"
"12:36:17:13","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31.3","1.8","ARRI ALEXA 35"
"12:36:17:14","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.345","-31","1.8","ARRI ALEXA 35"
"12:36:17:15","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.352","-31","1.8","ARRI ALEXA 35"
"12:36:17:16","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.352","-30.8","1.8","ARRI ALEXA 35"
"12:36:17:17","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.352","-30.6","1.8","ARRI ALEXA 35"
"12:36:17:18","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.352","-30.6","1.8","ARRI ALEXA 35"
"12:36:17:19","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.352","-30.6","1.8","ARRI ALEXA 35"
"12:36:17:20","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.355","-30.6","1.8","ARRI ALEXA 35"
"12:36:17:21","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.355","-30.6","1.8","ARRI ALEXA 35"
"12:36:17:22","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.355","-30.6","1.8","ARRI ALEXA 35"
"12:36:17:23","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.355","-30.6","1.8","ARRI ALEXA 35"
"12:36:18:00","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.355","-30.6","1.8","ARRI ALEXA 35"
"12:36:18:01","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.355","-30.6","1.8","ARRI ALEXA 35"
"12:36:18:02","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.362","-30.4","1.8","ARRI ALEXA 35"
"12:36:18:03","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.362","-30.4","1.8","ARRI ALEXA 35"
"12:36:18:04","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.371","-30.4","1.9","ARRI ALEXA 35"
"12:36:18:05","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.385","-30.2","1.9","ARRI ALEXA 35"
"12:36:18:06","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.391","-30.2","1.9","ARRI ALEXA 35"
"12:36:18:07","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.394","-30.2","1.9","ARRI ALEXA 35"
"12:36:18:08","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.401","-30.3","1.9","ARRI ALEXA 35"
"12:36:18:09","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.401","-30.5","1.9","ARRI ALEXA 35"
"12:36:18:10","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.394","-30.5","1.6","ARRI ALEXA 35"
"12:36:18:11","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.352","-30.5","1.6","ARRI ALEXA 35"
"12:36:18:12","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.25","-30.5","1.6","ARRI ALEXA 35"
"12:36:18:13","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.145","-30.5","1.7","ARRI ALEXA 35"
"12:36:18:14","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.115","-30.5","1.7","ARRI ALEXA 35"
"12:36:18:15","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.073","-30.5","1.9","ARRI ALEXA 35"
"12:36:18:16","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.017","-30.5","1.9","ARRI ALEXA 35"
"12:36:18:17","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.5","1.9","ARRI ALEXA 35"
"12:36:18:18","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.961","-30.5","1.9","ARRI ALEXA 35"
"12:36:18:19","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.951","-30.5","1.7","ARRI ALEXA 35"
"12:36:18:20","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.951","-30.5","1.7","ARRI ALEXA 35"
"12:36:18:21","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.951","-30.5","1.7","ARRI ALEXA 35"
"12:36:18:22","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.7","ARRI ALEXA 35"
"12:36:18:23","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.7","ARRI ALEXA 35"
"12:36:19:00","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.7","ARRI ALEXA 35"
"12:36:19:01","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.7","ARRI ALEXA 35"
"12:36:19:02","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.7","ARRI ALEXA 35"
"12:36:19:03","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.7","ARRI ALEXA 35"
"12:36:19:04","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.7","ARRI ALEXA 35"
"12:36:19:05","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.7","ARRI ALEXA 35"
"12:36:19:06","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.7","ARRI ALEXA 35"
"12:36:19:07","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.7","ARRI ALEXA 35"
"12:36:19:08","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.8","ARRI ALEXA 35"
"12:36:19:09","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.8","ARRI ALEXA 35"
"12:36:19:10","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.5","1.8","ARRI ALEXA 35"
"12:36:19:11","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.948","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:12","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:13","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.004","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:14","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.004","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:15","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.007","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:16","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.007","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:17","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.007","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:18","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.007","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:19","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.014","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:20","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.014","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:21","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.014","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:22","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.014","-30.6","1.8","ARRI ALEXA 35"
"12:36:19:23","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.014","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:00","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.014","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:01","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","6.007","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:02","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.994","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:03","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.991","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:04","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:05","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:06","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:07","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:08","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:09","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:10","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:11","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:12","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:13","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:14","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:15","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.988","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:16","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:17","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:18","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:19","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:20","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:21","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:22","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:20:23","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:00","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:01","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:02","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:03","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:04","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:05","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:06","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:07","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:08","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:09","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:10","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:11","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:12","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:13","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:14","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:15","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:16","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:17","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:18","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:19","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:20","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:21","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:22","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.6","1.8","ARRI ALEXA 35"
"12:36:21:23","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:00","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:01","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:02","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:03","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:04","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:05","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:06","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:07","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:08","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:09","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:10","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:11","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:12","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:13","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:14","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:15","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:16","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:17","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:18","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:19","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:20","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:21","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:22","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:22:23","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:23:00","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:23:01","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:23:02","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
"12:36:23:03","B_0001C007_250519_113502_h1CZ7","COOKE S4 752","752","65","T 2.8 1/10","5.981","-30.7","1.8","ARRI ALEXA 35"
