"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"16:45:09:20","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","0.2","4.2","ARRI ALEXA 35"
"16:45:09:21","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","0.6","5.4","ARRI ALEXA 35"
"16:45:09:22","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","0.7","7.2","ARRI ALEXA 35"
"16:45:09:23","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","0.7","8.6","ARRI ALEXA 35"
"16:45:10:00","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","0.6","11","ARRI ALEXA 35"
"16:45:10:01","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","0.2","12.7","ARRI ALEXA 35"
"16:45:10:02","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","0.2","13.6","ARRI ALEXA 35"
"16:45:10:03","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","0","14.7","ARRI ALEXA 35"
"16:45:10:04","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-0.8","15.1","ARRI ALEXA 35"
"16:45:10:05","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-0.8","14.8","ARRI ALEXA 35"
"16:45:10:06","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-1.3","13.3","ARRI ALEXA 35"
"16:45:10:07","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-1.7","11.4","ARRI ALEXA 35"
"16:45:10:08","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-2.4","10","ARRI ALEXA 35"
"16:45:10:09","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-3","7.7","ARRI ALEXA 35"
"16:45:10:10","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-3.4","5.3","ARRI ALEXA 35"
"16:45:10:11","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-3.4","3.9","ARRI ALEXA 35"
"16:45:10:12","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-3.4","2.2","ARRI ALEXA 35"
"16:45:10:13","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-3.4","0.9","ARRI ALEXA 35"
"16:45:10:14","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-3.5","0.3","ARRI ALEXA 35"
"16:45:10:15","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.486","-3.2","-0.3","ARRI ALEXA 35"
"16:45:10:16","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.472","-2.7","-0.6","ARRI ALEXA 35"
"16:45:10:17","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.472","-2.7","-0.8","ARRI ALEXA 35"
"16:45:10:18","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.472","-2.9","-1.1","ARRI ALEXA 35"
"16:45:10:19","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.472","-2.9","-1.3","ARRI ALEXA 35"
"16:45:10:20","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.472","-2.9","-1.5","ARRI ALEXA 35"
"16:45:10:21","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.472","-2.9","-1.5","ARRI ALEXA 35"
"16:45:10:22","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.472","-2.9","-1.5","ARRI ALEXA 35"
"16:45:10:23","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.472","-2.6","-1.1","ARRI ALEXA 35"
"16:45:11:00","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.472","-2.3","-0.1","ARRI ALEXA 35"
"16:45:11:01","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.472","-1.6","0.9","ARRI ALEXA 35"
"16:45:11:02","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.472","-1.1","1.7","ARRI ALEXA 35"
"16:45:11:03","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.479","-0.4","2.9","ARRI ALEXA 35"
"16:45:11:04","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.518","0.2","4.1","ARRI ALEXA 35"
"16:45:11:05","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.564","0.6","4.5","ARRI ALEXA 35"
"16:45:11:06","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","1.1","4.6","ARRI ALEXA 35"
"16:45:11:07","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","1.1","5","ARRI ALEXA 35"
"16:45:11:08","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","1.1","5","ARRI ALEXA 35"
"16:45:11:09","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","1.1","5.4","ARRI ALEXA 35"
"16:45:11:10","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","1.1","5.8","ARRI ALEXA 35"
"16:45:11:11","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","1.1","6","ARRI ALEXA 35"
"16:45:11:12","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","1.1","6.2","ARRI ALEXA 35"
"16:45:11:13","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","1.5","6.2","ARRI ALEXA 35"
"16:45:11:14","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","1.7","5.9","ARRI ALEXA 35"
"16:45:11:15","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","2.1","5.6","ARRI ALEXA 35"
"16:45:11:16","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","2.5","4.9","ARRI ALEXA 35"
"16:45:11:17","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","2.5","4.6","ARRI ALEXA 35"
"16:45:11:18","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","2.2","4.3","ARRI ALEXA 35"
"16:45:11:19","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","1.1","4","ARRI ALEXA 35"
"16:45:11:20","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","0.2","4","ARRI ALEXA 35"
"16:45:11:21","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","-0.6","2.7","ARRI ALEXA 35"
"16:45:11:22","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","-1.4","1.6","ARRI ALEXA 35"
"16:45:11:23","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","-1.8","0.9","ARRI ALEXA 35"
"16:45:12:00","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","-1.8","-0.4","ARRI ALEXA 35"
"16:45:12:01","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","-1.1","-1.3","ARRI ALEXA 35"
"16:45:12:02","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","-0.6","-1.7","ARRI ALEXA 35"
"16:45:12:03","C_0001C010_250523_164533_h1BYI","COOKE S4 755","755","75","T 2.8","5.571","-0.1","-1.7","ARRI ALEXA 35"
