"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"12:51:27:15","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.743","5.5","0.8","ARRI ALEXA 35"
"12:51:27:16","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.74","5.5","0.8","ARRI ALEXA 35"
"12:51:27:17","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.74","5.5","0.8","ARRI ALEXA 35"
"12:51:27:18","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.74","5.5","0.8","ARRI ALEXA 35"
"12:51:27:19","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.74","5.5","0.8","ARRI ALEXA 35"
"12:51:27:20","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.734","5.5","0.8","ARRI ALEXA 35"
"12:51:27:21","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.727","5.5","0.8","ARRI ALEXA 35"
"12:51:27:22","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.724","5.5","0.8","ARRI ALEXA 35"
"12:51:27:23","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.714","5.5","0.8","ARRI ALEXA 35"
"12:51:28:00","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.688","5.5","0.8","ARRI ALEXA 35"
"12:51:28:01","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.688","5.5","0.8","ARRI ALEXA 35"
"12:51:28:02","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.665","5.5","0.8","ARRI ALEXA 35"
"12:51:28:03","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.658","5.5","0.8","ARRI ALEXA 35"
"12:51:28:04","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.648","5.5","0.8","ARRI ALEXA 35"
"12:51:28:05","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.638","5.5","0.8","ARRI ALEXA 35"
"12:51:28:06","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.625","5.5","0.8","ARRI ALEXA 35"
"12:51:28:07","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.619","5.5","0.8","ARRI ALEXA 35"
"12:51:28:08","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.619","5.5","0.8","ARRI ALEXA 35"
"12:51:28:09","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.612","5.5","0.8","ARRI ALEXA 35"
"12:51:28:10","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.606","5.5","0.8","ARRI ALEXA 35"
"12:51:28:11","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.606","5.5","0.8","ARRI ALEXA 35"
"12:51:28:12","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.602","5.5","0.8","ARRI ALEXA 35"
"12:51:28:13","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.586","5.5","0.8","ARRI ALEXA 35"
"12:51:28:14","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.579","5.5","0.8","ARRI ALEXA 35"
"12:51:28:15","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.573","5.5","0.8","ARRI ALEXA 35"
"12:51:28:16","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.56","5.5","0.8","ARRI ALEXA 35"
"12:51:28:17","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:28:18","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.547","5.5","0.8","ARRI ALEXA 35"
"12:51:28:19","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.54","5.5","0.8","ARRI ALEXA 35"
"12:51:28:20","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:28:21","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:28:22","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:28:23","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:29:00","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:29:01","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:29:02","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:29:03","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:29:04","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:29:05","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:29:06","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:29:07","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:29:08","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.533","5.5","0.8","ARRI ALEXA 35"
"12:51:29:09","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.537","5.5","0.8","ARRI ALEXA 35"
"12:51:29:10","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.547","5.5","0.8","ARRI ALEXA 35"
"12:51:29:11","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.55","5.5","0.8","ARRI ALEXA 35"
"12:51:29:12","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.55","5.5","0.8","ARRI ALEXA 35"
"12:51:29:13","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.55","5.5","0.8","ARRI ALEXA 35"
"12:51:29:14","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.55","5.5","0.8","ARRI ALEXA 35"
"12:51:29:15","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.55","5.5","0.8","ARRI ALEXA 35"
"12:51:29:16","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.55","5.5","0.8","ARRI ALEXA 35"
"12:51:29:17","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:29:18","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:29:19","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:29:20","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:29:21","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:29:22","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:29:23","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:30:00","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:30:01","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:30:02","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:30:03","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:30:04","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:30:05","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:30:06","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:30:07","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:30:08","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.556","5.5","0.8","ARRI ALEXA 35"
"12:51:30:09","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.563","5.5","0.8","ARRI ALEXA 35"
"12:51:30:10","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.563","5.5","0.8","ARRI ALEXA 35"
"12:51:30:11","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.563","5.5","0.8","ARRI ALEXA 35"
"12:51:30:12","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.583","5.5","0.8","ARRI ALEXA 35"
"12:51:30:13","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.619","5.5","0.8","ARRI ALEXA 35"
"12:51:30:14","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.658","5.5","0.8","ARRI ALEXA 35"
"12:51:30:15","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.678","5.5","0.8","ARRI ALEXA 35"
"12:51:30:16","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.698","5.5","0.8","ARRI ALEXA 35"
"12:51:30:17","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.707","5.5","0.8","ARRI ALEXA 35"
"12:51:30:18","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.714","5.5","0.8","ARRI ALEXA 35"
"12:51:30:19","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.717","5.5","0.8","ARRI ALEXA 35"
"12:51:30:20","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.717","5.5","0.8","ARRI ALEXA 35"
"12:51:30:21","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.717","5.5","0.8","ARRI ALEXA 35"
"12:51:30:22","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.717","5.5","0.8","ARRI ALEXA 35"
"12:51:30:23","D_0011C002_250522_125105_h1EI5","COOKE S4 752","752","21","T 2 6/10","3.74","5.5","0.8","ARRI ALEXA 35"
